x,y,theta,hue_rad,saturation,is_anomaly
-0.000636,0.119087,0.385316,6.191734,0.390718,0
-0.128952,-0.075843,0.107819,2.039616,0.448952,0
0.124450,-0.105826,0.652571,4.015232,0.369487,0
-0.000376,0.119142,0.384863,6.191526,0.390979,0
-0.127990,-0.076472,0.112610,2.049104,0.447009,0
0.124814,-0.105999,0.654233,4.009068,0.369710,0
-0.000653,0.119109,0.385626,6.189974,0.390498,0
-0.128107,-0.076293,0.112291,2.052239,0.446005,0
0.124796,-0.105851,0.654781,4.029532,0.370073,0
-0.000307,0.119140,0.384638,6.191576,0.391438,0
-0.127973,-0.076592,0.113535,2.054124,0.447890,0
0.124884,-0.105928,0.654916,4.026033,0.369791,0
-0.000693,0.119167,0.386450,6.185055,0.391304,0
-0.128141,-0.076213,0.112821,2.057781,0.446591,0
0.124780,-0.105828,0.654742,4.026033,0.369791,0
-0.000551,0.119135,0.385440,6.189321,0.390804,0
-0.127966,-0.076454,0.112818,2.053659,0.446966,0
0.124858,-0.105904,0.654800,4.026033,0.369791,0
-0.000443,0.119147,0.384886,6.189622,0.391006,0
-0.128064,-0.076398,0.113075,2.056995,0.448191,0
0.124816,-0.105943,0.654440,4.026033,0.369791,0
-0.000677,0.119246,0.384129,6.184879,0.391554,0
-0.128105,-0.076316,0.112346,2.056229,0.447233,0
0.124810,-0.105848,0.654834,4.020070,0.370481,0
-0.000365,0.119230,0.384712,6.189132,0.391052,0
-0.127941,-0.076605,0.113148,2.056229,0.447233,0
0.124890,-0.105982,0.654520,4.019919,0.370322,0
-0.000750,0.119117,0.385864,6.189453,0.391254,0
-0.128220,-0.076243,0.112373,2.052534,0.448089,0
0.124768,-0.105802,0.654949,4.020070,0.370481,0
-0.000490,0.119245,0.384790,6.182610,0.390910,0
-0.127943,-0.076526,0.109990,2.055494,0.448827,0
0.124896,-0.106025,0.654248,4.026033,0.369791,0
-0.000751,0.119119,0.385973,6.182943,0.391114,0
-0.128186,-0.076220,0.112272,2.055494,0.448827,0
0.124751,-0.105792,0.654952,4.026033,0.369791,0
-0.000334,0.119087,0.382306,6.189296,0.391498,0
-0.127952,-0.076505,0.112765,2.055085,0.448347,0
0.124872,-0.105925,0.654933,4.026045,0.369946,0
-0.000688,0.119241,0.384050,6.189296,0.391498,0
