# generated_by: experiments/mc_sweep_ow.py
# git_commit: 638b502
# date: 2026-07-03 06:04 UTC
# trials_per_cell: 5  steps: 500  controller: logic_g_newton_contour_pentagon
# start_mode: fixed  fixed_start: (-0.5, 0.25)
# D_on: 0.02  D_stay: 0.1  collapse_rms: 0.3
sigma_uv,sigma_p,seed,start_x,start_y,heading,t_lock,steps,success_track,exited_domain,collapsed,d_mean,d_p95,shape_rms_max,effort,final_x,final_y
0.02,0.005,20036693,-0.5,0.25,0.383644,180,500,0,0,1,0.0899218,0.238261,1.91692,6.76228,-0.396351,-0.349201
0.02,0.01,20010017,-0.5,0.25,2.66063,33,500,0,0,1,0.112404,0.334719,1.5226,6.4441,-0.346987,-0.305883
0.02,0.01,20017936,-0.5,0.25,2.59599,354,457,0,1,0,0.516629,0.857214,0.0497755,5.98579,0.243858,-0.521716
0.02,0.01,20025855,-0.5,0.25,2.28976,-1,157,0,1,0,nan,nan,7.87723e-10,2.13774,-0.583685,-0.520144
0.02,0.01,20033774,-0.5,0.25,0.486318,106,219,0,1,0,0.0705721,0.229992,3.18802e-09,2.92888,-1.00499,0.122584
0.02,0.01,20041693,-0.5,0.25,0.659331,-1,489,0,1,1,nan,nan,1.41662,6.51505,-1.00306,-0.328895
0.02,0.02,20020017,-0.5,0.25,1.3473,175,500,0,0,0,0.131972,0.2866,0.0512688,6.42608,-0.395844,-0.440528
0.02,0.02,20027936,-0.5,0.25,5.61202,59,167,0,1,0,0.427018,0.831308,8.89169e-10,2.26346,-0.245524,-0.524472
0.02,0.02,20035855,-0.5,0.25,1.48866,73,500,0,0,1,0.105712,0.499343,0.49551,6.31691,-0.542316,-0.509977
0.02,0.02,20043774,-0.5,0.25,4.19206,120,500,0,0,0,0.171496,0.389406,0.0398087,6.37164,-0.449868,-0.421761
0.02,0.02,20051693,-0.5,0.25,2.20203,221,500,0,0,1,0.260838,0.657328,0.580089,6.697,-0.393073,-0.470943
0.02,0.05,20050017,-0.5,0.25,3.22597,-1,500,0,0,0,nan,nan,0.0604706,6.32546,-0.420952,-0.418081
0.02,0.05,20057936,-0.5,0.25,2.34603,-1,500,0,0,0,nan,nan,0.0377904,6.21137,-0.63615,-0.221003
0.02,0.05,20065855,-0.5,0.25,0.0475488,136,183,0,1,0,0.16747,0.481957,1.12084e-09,2.34176,-0.763405,-0.521157
0.02,0.05,20073774,-0.5,0.25,3.00323,287,463,0,1,0,0.330287,0.726084,0.120881,5.88438,0.347508,-0.524029
0.02,0.05,20081693,-0.5,0.25,4.82504,271,500,0,0,1,0.139291,0.453005,1.4901,6.41918,-0.649841,-0.162734
0.05,0,50000017,-0.5,0.25,5.57007,-1,453,0,1,0,nan,nan,0.106848,5.51218,-1.00467,-0.146661
0.05,0,50007936,-0.5,0.25,4.25005,234,285,0,1,0,0.0640855,0.268967,5.98423e-08,3.59901,-0.304025,0.521825
0.05,0,50015855,-0.5,0.25,5.65573,295,314,1,1,0,0.0141979,0.0473232,3.64677e-06,3.94652,-0.418588,0.520995
0.05,0,50023774,-0.5,0.25,4.25036,102,500,0,0,1,0.15432,0.375976,1.56695,6.43216,-0.160322,-0.211561
0.05,0,50031693,-0.5,0.25,2.60137,173,190,1,1,0,0.0104158,0.0159967,1.25455e-09,2.41276,-1.00135,0.0246858
0.05,0.005,50005017,-0.5,0.25,3.5664,367,500,0,0,0,0.320917,0.629043,0.0584414,6.14297,-0.896002,-0.153971
0.05,0.005,50012936,-0.5,0.25,5.26858,-1,478,0,1,1,nan,nan,1.03317,6.16016,-0.351899,0.52297
0.05,0.005,50020855,-0.5,0.25,0.63656,-1,500,0,0,0,nan,nan,0.0363454,6.24686,-0.188855,0.311315
0.05,0.005,50028774,-0.5,0.25,4.55989,387,500,0,0,1,0.224417,0.716468,0.972091,6.19563,-0.61539,-0.0543602
0.05,0.005,50036693,-0.5,0.25,1.3358,-1,500,0,0,1,nan,nan,1.51193,6.35669,-0.637211,0.227064
0.05,0.01,50010017,-0.5,0.25,5.83839,-1,412,0,1,0,nan,nan,0.00187323,5.12301,-0.267099,-0.523957
0.05,0.01,50017936,-0.5,0.25,4.35311,-1,237,0,1,0,nan,nan,2.77283e-09,2.99334,-1.00087,-0.0633273
0.05,0.01,50025855,-0.5,0.25,1.34649,-1,500,0,0,1,nan,nan,0.920002,6.3479,-0.854733,0.0341717
0.05,0.01,50033774,-0.5,0.25,1.84515,-1,500,0,0,0,nan,nan,0.0536615,6.17726,-0.880365,0.245148
0.05,0.01,50041693,-0.5,0.25,5.39918,368,500,0,0,1,0.262337,0.789727,1.82928,6.54895,-0.474595,-0.464725
0.05,0.02,50020017,-0.5,0.25,2.53552,355,446,0,1,0,0.116793,0.292339,0.0569548,5.52433,-1.0039,0.211962
0.05,0.02,50027936,-0.5,0.25,1.41753,-1,500,0,0,0,nan,nan,0.0450748,6.17124,-0.944533,0.19567
0.05,0.02,50035855,-0.5,0.25,1.45221,290,500,0,0,1,0.136493,0.487959,1.62654,6.34651,-0.566365,-0.439615
0.05,0.02,50043774,-0.5,0.25,4.22093,338,445,0,1,0,0.362742,0.773599,0.0368193,5.45393,-0.28803,-0.528712
0.05,0.02,50051693,-0.5,0.25,3.58398,231,500,0,0,0,0.277188,0.611929,0.0506421,6.14784,-0.322562,-0.419474
0.05,0.05,50050017,-0.5,0.25,0.823386,-1,500,0,0,0,nan,nan,0.266685,6.04355,-0.421256,-0.453331
0.05,0.05,50057936,-0.5,0.25,4.17045,-1,443,0,1,0,nan,nan,0.0456955,5.37241,-0.247868,-0.521338
0.05,0.05,50065855,-0.5,0.25,6.22781,243,358,0,1,0,0.295256,0.604811,3.50339e-05,4.31942,-0.480363,0.520517
0.05,0.05,50073774,-0.5,0.25,6.0591,-1,500,0,0,1,nan,nan,0.806329,6.10404,-0.210153,-0.183999
0.05,0.05,50081693,-0.5,0.25,6.05921,466,500,0,0,1,0.0451855,0.103783,1.92584,6.33164,-0.84924,-0.190719
0.1,0,100000017,-0.5,0.25,4.89013,340,500,0,0,0,0.238115,0.562784,0.0542817,5.94971,-0.0856485,-0.253871
0.1,0,100007936,-0.5,0.25,3.32995,-1,500,0,0,1,nan,nan,0.743913,6.02394,0.1615,-0.304561
0.1,0,100015855,-0.5,0.25,1.05542,194,500,0,0,1,0.327238,0.865951,0.471164,5.9184,-0.411678,0.385629
0.1,0,100023774,-0.5,0.25,4.13656,-1,500,0,0,0,nan,nan,0.00470694,5.80087,-0.466858,-0.181402
0.1,0,100031693,-0.5,0.25,5.79779,-1,223,0,1,0,nan,nan,2.33805e-09,2.65478,-0.807688,-0.521435
0.1,0.005,100005017,-0.5,0.25,4.66901,-1,287,0,1,0,nan,nan,1.00906e-07,3.39682,-1.0025,0.269549
0.1,0.005,100012936,-0.5,0.25,1.90692,-1,500,0,0,0,nan,nan,0.275257,6.04161,-0.396798,0.0433674
0.1,0.005,100020855,-0.5,0.25,2.07827,-1,500,0,0,0,nan,nan,0.0577288,5.91625,-0.15792,-0.308865
0.1,0.005,100028774,-0.5,0.25,6.20045,-1,500,0,0,0,nan,nan,0.182592,6.05724,-0.978994,-0.0919105
0.1,0.005,100036693,-0.5,0.25,3.43509,463,500,0,0,1,0.0933835,0.195795,0.323299,6.05139,-0.504586,-0.366178
0.1,0.01,100010017,-0.5,0.25,0.0620298,-1,480,0,1,0,nan,nan,0.0822471,5.74498,-1.00241,-0.410757
0.1,0.01,100017936,-0.5,0.25,3.09594,-1,500,0,0,1,nan,nan,0.721098,5.95002,-0.819652,0.0952779
0.1,0.01,100025855,-0.5,0.25,3.58018,-1,500,0,0,0,nan,nan,0.0942817,5.96589,-0.754211,0.169308
0.1,0.01,100033774,-0.5,0.25,0.807723,-1,500,0,0,1,nan,nan,0.435151,6.01189,-0.873703,-0.165745
0.1,0.01,100041693,-0.5,0.25,2.33346,-1,500,0,0,1,nan,nan,0.842265,6.08052,-0.0504395,-0.445723
0.1,0.02,100020017,-0.5,0.25,1.55876,-1,500,0,0,0,nan,nan,0.0360618,5.96351,-0.651786,-0.210174
0.1,0.02,100027936,-0.5,0.25,3.341,402,500,0,0,0,0.147557,0.253382,0.0440992,5.90333,-0.802325,-0.136362
0.1,0.02,100035855,-0.5,0.25,2.30296,-1,492,0,1,1,nan,nan,0.823858,5.9362,-0.240435,-0.520521
0.1,0.02,100043774,-0.5,0.25,3.68552,-1,500,0,0,0,nan,nan,0.0506617,5.89184,-0.806196,0.0817509
0.1,0.02,100051693,-0.5,0.25,4.79078,354,454,0,1,0,0.46391,0.827848,0.0292428,5.47565,0.214841,-0.520232
0.1,0.05,100050017,-0.5,0.25,4.27016,-1,500,0,0,1,nan,nan,1.82529,6.02444,0.11094,-0.169473
0.1,0.05,100057936,-0.5,0.25,5.44206,343,500,0,0,1,0.662975,0.92666,0.444153,6.00385,-0.0533168,0.423977
0.1,0.05,100065855,-0.5,0.25,2.52292,361,500,0,0,0,0.428732,0.750318,0.0841561,5.97589,0.0228025,0.0188389
0.1,0.05,100073774,-0.5,0.25,1.01745,111,500,0,0,0,0.345198,0.80004,0.0480861,5.87024,0.177285,-0.457177
0.1,0.05,100081693,-0.5,0.25,5.33719,256,372,0,1,0,0.211106,0.849974,8.14137e-05,4.40996,-0.0787364,0.521694
