# generated_by: experiments/mc_sweep_ow.py
# git_commit: 16a1a35
# date: 2026-07-03 10:36 UTC
# trials_per_cell: 1000  steps: 500  controller: logic_g_newton_contour_pentagon
# start_mode: fixed  fixed_start: (-0.5, 0.25)
# D_on: 0.02  D_stay: 0.1  collapse_rms: 0.3
sigma_uv,sigma_p,seed,start_x,start_y,heading,t_lock,steps,success_track,exited_domain,collapsed,d_mean,d_p95,shape_rms_max,effort,final_x,final_y
0,0,1409599,-0.5,0.25,6.13238,22,115,1,1,0,0.000808686,0.00486778,5.07481e-10,1.43896,0.523027,-0.522965
0,0,1417518,-0.5,0.25,5.65078,22,115,1,1,0,0.000800252,0.00519248,5.07434e-10,1.43915,0.521435,-0.52148
0,0,1425437,-0.5,0.25,3.34711,22,115,1,1,0,0.000763402,0.00476098,5.07272e-10,1.43927,0.524735,-0.524718
0,0,1433356,-0.5,0.25,3.61524,22,115,1,1,0,0.000808822,0.00486259,5.07433e-10,1.43897,0.523093,-0.523031
0,0,1441275,-0.5,0.25,4.80658,22,115,1,1,0,0.000806818,0.00476904,5.07394e-10,1.43907,0.52407,-0.52401
0,0,1449194,-0.5,0.25,2.00428,22,115,1,1,0,0.000759988,0.00490448,5.07402e-10,1.43926,0.52377,-0.523783
0,0,1457113,-0.5,0.25,3.57637,22,115,1,1,0,0.000808607,0.00480468,5.07419e-10,1.43903,0.523708,-0.523647
0,0,1465032,-0.5,0.25,2.49826,22,115,1,1,0,0.00078684,0.00509111,5.07479e-10,1.43878,0.5204,-0.520353
0,0,1472951,-0.5,0.25,5.95527,22,115,1,1,0,0.000788642,0.0047016,5.07338e-10,1.43921,0.524933,-0.524887
0,0,1480870,-0.5,0.25,5.2415,22,116,1,1,0,0.000743298,0.00542431,5.07652e-10,1.4507,0.525332,-0.525337
0,0,1488789,-0.5,0.25,1.55743,22,116,1,1,0,0.000773539,0.005489,5.07314e-10,1.45076,0.525067,-0.525102
0,0,1496708,-0.5,0.25,3.18249,22,115,1,1,0,0.000787435,0.00508422,5.07644e-10,1.4392,0.522374,-0.522409
0,0,1504627,-0.5,0.25,0.694856,22,115,1,1,0,0.000778947,0.00502226,5.07569e-10,1.43922,0.522873,-0.5229
0,0,1512546,-0.5,0.25,5.27032,22,116,1,1,0,0.000753727,0.005452,5.07375e-10,1.45072,0.525158,-0.525177
0,0,1140353,-0.5,0.25,5.8609,22,115,1,1,0,0.000763565,0.00476036,5.0739e-10,1.43927,0.524738,-0.524722
0,0,1148272,-0.5,0.25,2.25506,22,115,1,1,0,0.000801963,0.00472985,5.07421e-10,1.43913,0.524496,-0.524439
0,0,1156191,-0.5,0.25,2.53164,22,116,1,1,0,0.000769116,0.00513129,5.07546e-10,1.45074,0.528218,-0.528178
