# generated_by: experiments/mc_sweep_separatrix.py
# git_commit: 0d6d40e
# date: 2026-07-03 05:56 UTC
# trials_per_cell: 5  steps: 500  controller: separatrix_logic_c_step
# start_mode: fixed  fixed_start: (0.0, 0.35)  start_box: (-0.8, 0.8, -0.4, 0.4)
# band_x: 0.05  collapse_rms: 0.3
sigma_uv,sigma_p,seed,start_x,start_y,heading,t_band,steps,success_traverse,success_band,success_straddle,first_straddle,collapsed,track_mean,track_p95,shape_rms_max,effort,final_x,final_y
0.02,0.01,20025838,0,0.35,2.07018,0,121,1,1,1,0,0,0.0134115,0.0313408,5.30791e-10,1.57511,-0.0178557,-0.448773
0.02,0.01,20033757,0,0.35,4.07002,0,302,0,1,0,0,0,0.471274,0.985365,2.16624e-07,4.02662,-1.00242,0.378904
0.02,0.01,20041676,0,0.35,0.946462,0,142,0,1,0,0,0,0.074856,0.279765,7.0529e-10,1.93331,0.334658,-0.520085
0.02,0.02,20020000,0,0.35,1.81896,0,134,0,1,0,0,0,0.0342093,0.146287,6.19045e-10,1.74815,-0.207943,-0.520133
0.02,0.02,20027919,0,0.35,0.167365,0,97,1,1,1,0,0,0.019334,0.0357279,3.70014e-10,1.27484,0.0377724,-0.453806
0.02,0.02,20035838,0,0.35,4.509,0,132,0,1,0,0,0,0.111853,0.343513,6.17097e-10,1.80816,-0.360722,-0.521673
0.02,0.02,20043757,0,0.35,3.84055,0,178,0,1,0,0,0,0.217308,0.687041,9.69362e-10,2.38571,0.745718,-0.527392
0.02,0.02,20051676,0,0.35,6.22084,0,173,0,1,0,0,0,0.180848,0.583709,1.01557e-09,2.30319,0.667509,-0.522656
0.02,0.05,20050000,0,0.35,1.50006,0,142,0,1,0,0,0,0.130415,0.463591,7.70541e-10,1.81128,0.527539,-0.523765
0.02,0.05,20057919,0,0.35,5.93445,0,122,0,1,0,0,0,0.0379562,0.151516,5.86772e-10,1.56926,0.199264,-0.520322
0.02,0.05,20065838,0,0.35,1.16043,0,500,0,0,0,0,1,0.379089,0.920347,1.22631,6.57277,0.38777,-0.437531
0.02,0.05,20073757,0,0.35,2.87479,0,102,1,1,1,0,0,0.0264323,0.0603856,4.02462e-10,1.2939,-0.00679911,-0.445074
0.02,0.05,20081676,0,0.35,4.11899,0,316,0,1,0,0,0,0.494932,0.93883,7.19392e-07,4.11549,-0.572709,0.520436
0.05,0,50000000,0,0.35,2.68683,0,127,0,1,0,0,0,0.0452702,0.152061,5.66332e-10,1.64813,-0.210427,-0.520246
0.05,0,50007919,0,0.35,4.99479,0,370,0,1,0,0,0,0.599737,0.981374,2.72116e-05,4.63484,-0.431209,0.520667
0.05,0,50015838,0,0.35,4.23381,0,234,0,1,0,0,0,0.349077,0.96213,2.4328e-09,3.00407,-1.00254,-0.328615
0.05,0,50023757,0,0.35,0.0343291,0,253,0,1,0,0,0,0.394045,0.957198,7.53588e-09,3.28379,1.00085,-0.00644824
0.05,0,50031676,0,0.35,5.79709,0,141,0,1,0,0,0,0.0925768,0.291716,7.70915e-10,1.83341,-0.359247,-0.521989
0.05,0.005,50005000,0,0.35,5.06349,0,273,0,1,0,0,0,0.380069,0.97766,6.40615e-08,3.45234,1.00212,-0.0615455
0.05,0.005,50012919,0,0.35,2.91351,0,139,0,1,0,0,0,0.119433,0.416729,6.17109e-10,1.79309,-0.493186,-0.522381
0.05,0.005,50020838,0,0.35,0.467823,0,238,0,1,0,0,0,0.382721,0.975034,2.09653e-09,2.94186,1.0001,-0.301421
