# generated_by: experiments/basin_map.py
# git_commit: 148df0a
# date: 2026-07-17T07:58:13.104293+00:00
# mode: grid_heading0_relaxed  max_steps: 800  x_exit: 1.1  y_exit: 0.6
# grid: 200x100 over [-1.0,1.0]x[-0.5,0.5]  subsample: 20x10x10
# controller: separatrix_logic_c_step (Logic C), zero noise
# collapse_rms: 0.3  saddle_contact_d: 0.06
# core_park: final_D > 0.0 and final_gradD < 0.5
sigma_uv,sigma_p,seed,start_x,start_y,heading,steps,success_traverse,collapsed,final_x,final_y,final_D,final_gradD,dist_core,min_d_top,min_d_bot,outcome
0.0,0.0,1000160,-0.985,0.10499999999999998,0.0,232,1,0,-1.806130931388446e-08,-0.44240910826486646,-0.9425508268344301,1.083337251861006,0.6676269924249658,0.011158095492059854,0.06959089156479384,TRAVERSE
0.0,0.0,1000161,-0.985,0.11499999999999999,0.0,52,0,0,-1.1112926357775712,0.5396090766954048,-0.8447812640973157,2.109024102397098,0.8153874184753881,0.998493119517678,1.1612277984960573,EXIT
0.0,0.0,1000162,-0.985,0.125,0.0,230,1,0,-2.1787214488551882e-08,-0.45178412860969974,-0.9519112359347722,0.9129682576728458,0.6738760101653803,0.011213729956237036,0.0602158712195618,TRAVERSE
0.0,0.0,1000163,-0.985,0.135,0.0,197,1,0,-2.3568214160366956e-08,-0.44275486094572086,-0.9429243184332505,1.0771171574026717,0.6678561546641993,0.011167527252878385,0.06924513888465585,TRAVERSE
0.0,0.0,1000164,-0.985,0.14500000000000002,0.0,41,0,0,-1.109556005740589,0.49436971276236513,-0.8628803111753801,1.947068081014605,0.7848311519245171,0.9988721234207109,1.1773911839316618,EXIT
0.0,0.0,1000165,-0.985,0.15500000000000003,0.0,200,1,0,-1.1292180299623164e-08,-0.4406330032116124,-0.9405983827511709,1.1152081743548405,0.6664513727400557,0.011033030724772384,0.07136699654195011,TRAVERSE
0.0,0.0,1000166,-0.985,0.16500000000000004,0.0,216,1,0,-6.759786390364564e-09,-0.4505195840798469,-0.9507420859177926,0.9361463267228307,0.6730288915638702,0.011071071415875029,0.0614804157515941,TRAVERSE
0.0,0.0,1000167,-0.985,0.17500000000000004,0.0,61,0,0,-1.111381603711793,0.4903446666408405,-0.8587153221290753,1.9797511232652414,0.7837253074006995,0.9765641146481172,1.1940896113776387,EXIT
0.0,0.0,1000168,-0.985,0.18500000000000005,0.0,64,0,0,-1.108833010133891,0.4969772314718011,-0.864498859405917,1.9341746912768123,0.7859160278490768,0.9724695123166336,1.1997708114469197,EXIT
0.0,0.0,1000169,-0.985,0.19499999999999995,0.0,242,1,0,-1.4140232864242227e-08,-0.4444059264230913,-0.9446781471304755,1.0473448854169571,0.6689518766695653,0.010658940231485557,0.06759407340979307,TRAVERSE
0.0,0.0,1000170,-0.985,0.20499999999999996,0.0,196,1,0,-2.2512772204312064e-08,-0.44131355476590145,-0.9413531906191307,1.1030123648606112,0.6669015152984319,0.01137687804782345,0.07068644506109896,TRAVERSE
0.0,0.0,1000171,-0.985,0.21499999999999997,0.0,219,1,0,-1.7570248371974923e-08,-0.45070423421339484,-0.9509146333454539,0.9327654903854635,0.6731525006769525,0.011207391444352543,0.06129576561774394,TRAVERSE
0.0,0.0,1000172,-0.985,0.22499999999999998,0.0,101,0,0,-1.1082099127662515,0.49537353546403784,-0.8655826757342464,1.9260542417129292,0.7844196820741252,0.941501745903243,1.2230494675196093,EXIT
0.0,0.0,1000173,-0.985,0.235,0.0,48,0,0,-1.1074119388204258,0.4979752250808893,-0.8672795595097124,1.9124401641808313,0.7854480175135405,0.97845067933612,1.2290036615079714,EXIT
0.0,0.0,1000174,-0.985,0.245,0.0,39,0,0,-1.1024807078011323,0.49050025563185723,-0.8756963288629288,1.8461550362198236,0.7768999318107003,0.9964570054659524,1.235010121416015,EXIT
0.0,0.0,1000175,-0.985,0.255,0.0,217,1,0,-1.1049008143600622e-08,-0.44116615539389087,-0.9411904124756224,1.1056555508394488,0.6668039934013733,0.011115962217297437,0.07083384443270757,TRAVERSE
0.0,0.0,1000176,-0.985,0.265,0.0,185,1,0,-1.7802962796094796e-08,-0.44208915686631967,-0.9422032913683069,1.0890886269360587,0.6674150169241106,0.011189089219476277,0.06991084296263055,TRAVERSE
0.0,0.0,1000177,-0.985,0.275,0.0,36,0,0,-1.1094263821700034,0.5074574247083706,-0.8629023506228399,1.9474141906594338,0.7930407008322277,0.9964458535819353,1.2533355496434304,EXIT
0.0,0.0,1000178,-0.985,0.28500000000000003,0.0,51,0,0,-1.1104906559057899,0.48782956193177335,-0.8599382402453718,1.971810754936305,0.7814579466886413,0.9816521037344431,1.2595435681229927,EXIT
0.0,0.0,1000179,-0.985,0.29500000000000004,0.0,233,1,0,-6.948323666433609e-09,-0.4518923300125188,-0.9520099129439922,0.910982316797381,0.6739485670107322,0.011179754445716882,0.060107669816546506,TRAVERSE
0.0,0.0,1000180,-0.985,0.30500000000000005,0.0,189,1,0,-7.699566179075745e-09,-0.4433884285360386,-0.9436031310131314,1.0657060987861544,0.6682763581484022,0.011265147113737689,0.06861157129547939,TRAVERSE
0.0,0.0,1000181,-0.985,0.31499999999999995,0.0,217,1,0,-2.5804101765058984e-08,-0.4510526833347293,-0.951238542659794,0.9263821735200332,0.6733858458115662,0.008490370179239093,0.060947316495836804,TRAVERSE
0.0,0.0,1000182,-0.985,0.32499999999999996,0.0,26,0,0,-1.1099601277055036,0.49325529112717215,-0.8619609119934846,1.9543570687834317,0.7844438409570602,0.999334930930661,1.2848540773177317,EXIT
0.0,0.0,1000183,-0.985,0.33499999999999996,0.0,31,0,0,-1.1014068145595501,0.4913873625886378,-0.8778146929311563,1.8280608188616623,0.776628416110615,0.9951041870534277,1.291297796792049,EXIT
0.0,0.0,1000184,-0.985,0.345,0.0,224,1,0,-1.7823357410332957e-08,-0.4422567902064947,-0.9423856064272367,1.0860758347936181,0.667526067401412,0.011176727895482727,0.0697432096228345,TRAVERSE
0.0,0.0,1000185,-0.985,0.355,0.0,132,0,0,0.0009045724771466224,0.6012530548880398,-0.8787995317709323,1.8182578404279766,0.7814099319732377,0.0042440699795182075,0.9864748090373657,EXIT
0.0,0.0,1000186,-0.985,0.365,0.0,212,1,0,-1.788543341901816e-08,-0.4422253832778688,-0.9423514872554589,1.0866403880044748,0.6675052597019928,0.011179397197497819,0.06977461655139065,TRAVERSE
0.0,0.0,1000187,-0.985,0.375,0.0,41,0,0,-1.103025257702881,0.4919581227540641,-0.8749393883299603,1.8519316166006785,0.77824305713018,0.963345032977162,1.3175166033109413,EXIT
0.0,0.0,1000188,-0.985,0.385,0.0,96,0,0,-1.1048540091226011,0.5074593204517034,-0.8716256906572181,1.878875699557781,0.7895336181981032,0.9870718706145413,1.3241789909222996,EXIT
