Time(s),radius001,radius01,radius02,radius03,radius04
363.000000,0.295096,0.454905,0.321935,0.417273,0.392925
364.000000,0.288549,0.449800,0.325423,0.414279,0.402043
365.000000,0.282542,0.444588,0.328237,0.411254,0.411203
366.000000,0.277682,0.440492,0.329272,0.401260,0.421514
367.000000,0.273687,0.440111,0.330369,0.392012,0.431619
368.000000,0.269592,0.441793,0.332282,0.382424,0.442076
369.000000,0.265454,0.443954,0.338465,0.373378,0.453279
370.000000,0.260675,0.445023,0.340915,0.363046,0.464071
371.000000,0.255409,0.439240,0.344073,0.353699,0.475009
372.000000,0.251305,0.429542,0.347941,0.339079,0.486581
373.000000,0.247112,0.422762,0.349968,0.323686,0.498171
374.000000,0.244108,0.418418,0.347719,0.307483,0.510372
375.000000,0.241141,0.415393,0.345857,0.293363,0.522193
376.000000,0.239510,0.409018,0.340252,0.281181,0.534553
377.000000,0.238500,0.404094,0.336295,0.276748,0.546944
378.000000,0.237958,0.398738,0.332445,0.271419,0.558906
379.000000,0.238422,0.391376,0.325742,0.258344,0.571457
380.000000,0.239248,0.385561,0.318268,0.239075,0.583898
381.000000,0.239267,0.379290,0.312410,0.227505,0.596349
382.000000,0.239982,0.373691,0.300904,0.222221,0.608835
383.000000,0.240705,0.366559,0.288242,0.218787,0.621935
384.000000,0.241270,0.359547,0.278927,0.216054,0.634913
385.000000,0.243092,0.352127,0.270729,0.214288,0.648005
386.000000,0.244835,0.344507,0.257242,0.209909,0.661253
387.000000,0.246174,0.336285,0.245983,0.207474,0.674582
388.000000,0.249442,0.330729,0.234766,0.208172,0.687697
389.000000,0.248524,0.325250,0.229948,0.209082,0.699809
390.000000,0.245344,0.320087,0.221973,0.211764,0.711704
391.000000,0.242191,0.314474,0.212729,0.215064,0.721043
392.000000,0.235308,0.309716,0.207161,0.219211,0.723048
393.000000,0.226712,0.303813,0.207478,0.224069,0.717114
394.000000,0.218450,0.298882,0.204065,0.229717,0.723830
395.000000,0.211370,0.295311,0.202111,0.235737,0.727250
396.000000,0.203250,0.291611,0.200894,0.241735,0.723925
397.000000,0.192660,0.287902,0.201588,0.246633,0.715911
398.000000,0.185932,0.284279,0.202900,0.250498,0.719641
399.000000,0.181209,0.281543,0.205525,0.254955,0.712916
400.000000,0.179530,0.279752,0.208839,0.257763,0.719792
401.000000,0.178365,0.277763,0.213533,0.261679,0.706213
402.000000,0.178911,0.275974,0.217979,0.266346,0.694625
403.000000,0.180596,0.274005,0.222480,0.268847,0.687154
404.000000,0.182699,0.272035,0.226914,0.271294,0.700732
405.000000,0.185808,0.270890,0.231356,0.273652,0.716709
406.000000,0.189616,0.270436,0.235080,0.276095,0.724595
407.000000,0.193310,0.271435,0.236892,0.278605,0.716872
408.000000,0.195894,0.272529,0.239505,0.280585,0.702149
409.000000,0.200682,0.274365,0.241794,0.281874,0.689172
410.000000,0.208384,0.275956,0.243741,0.282743,0.673144
411.000000,0.212791,0.276553,0.247126,0.283724,0.670898
412.000000,0.217306,0.276778,0.250871,0.285577,0.686299
413.000000,0.221767,0.278550,0.254012,0.288622,0.696653
414.000000,0.225857,0.280707,0.254652,0.291892,0.699842
415.000000,0.227659,0.282389,0.252924,0.292457,0.710107
416.000000,0.230914,0.283420,0.250632,0.294850,0.704081
417.000000,0.235102,0.283918,0.247861,0.298406,0.705439
418.000000,0.238689,0.282092,0.244149,0.301224,0.693080
419.000000,0.241602,0.280865,0.240667,0.306579,0.684087
420.000000,0.241080,0.281263,0.237761,0.312877,0.677559
421.000000,0.233045,0.280519,0.236260,0.319870,0.673823
422.000000,0.227106,0.277704,0.237034,0.327142,0.673806
423.000000,0.223573,0.272372,0.240822,0.335825,0.683285
424.000000,0.223398,0.264031,0.245262,0.345504,0.689459
425.000000,0.222919,0.252826,0.249119,0.355799,0.679993
426.000000,0.223133,0.242528,0.254236,0.367046,0.674218
427.000000,0.224613,0.233541,0.260127,0.377368,0.669142
428.000000,0.226786,0.225492,0.267764,0.388587,0.660797
429.000000,0.230779,0.216966,0.276696,0.401510,0.653256
430.000000,0.235854,0.209556,0.286082,0.412504,0.645441
431.000000,0.241328,0.203337,0.296496,0.424676,0.638743
432.000000,0.247794,0.198313,0.306374,0.437319,0.631798
433.000000,0.255196,0.196011,0.317361,0.451427,0.624196
434.000000,0.263878,0.194992,0.328899,0.463419,0.616732
435.000000,0.274199,0.195002,0.340483,0.475797,0.609278
436.000000,0.284288,0.196532,0.352098,0.488726,0.602565
437.000000,0.294969,0.199044,0.363937,0.501522,0.597944
438.000000,0.306607,0.203048,0.376118,0.514833,0.593869
439.000000,0.318306,0.206828,0.388349,0.527541,0.590039
440.000000,0.328948,0.211725,0.400544,0.539995,0.586285
441.000000,0.342390,0.218256,0.413051,0.551433,0.582588
442.000000,0.354864,0.221230,0.425687,0.559024,0.577462
443.000000,0.368061,0.224416,0.438206,0.563423,0.571817
444.000000,0.380910,0.227253,0.451309,0.561890,0.567426
445.000000,0.393096,0.230088,0.464682,0.554097,0.561647
446.000000,0.405953,0.233610,0.478000,0.549523,0.555142
447.000000,0.419146,0.235974,0.491448,0.546807,0.546725
448.000000,0.432653,0.237935,0.504701,0.547633,0.538803
449.000000,0.444552,0.239952,0.517941,0.547141,0.530845
450.000000,0.459587,0.241634,0.531071,0.534796,0.522648
451.000000,0.473293,0.240439,0.544007,0.521261,0.516094
