timestep,x_c,y_c,radius,p_current,q_current,beta_current,p_error,q_error,beta_error,vp,vq,vbeta,vx_c,vy_c,jacobian_cond
386,0.1448345902648981,-0.42643050609789723,0.4503554541338538,0.3299999987296931,0.329995361775114,60.00000002236078,1.2703069152131263e-09,4.638224885999964e-06,-2.2360787910279447e-08,6.351534576065632e-10,2.319112442999982e-06,-3.902693723745188e-12,0.1850142069627943,0.08002287900492505,10.674455591776628
387,0.1636292072225339,-0.41957778493710385,0.4503554541348439,0.32999999867202173,0.32999515120168765,60.000000022380235,1.3279782828945486e-09,4.848798312362401e-06,-2.238024018271128e-08,6.639891414472743e-10,2.4243991561812006e-06,-3.906088785754491e-12,0.18127790988732384,0.08816029338224565,10.674456837115116
388,0.18210095673990315,-0.4118971675361647,0.4503554541358452,0.3299999986117321,0.32999493106831723,60.00000002239974,1.3882678895349443e-09,5.06893168278344e-06,-2.2399743344018014e-08,6.941339447674721e-10,2.53446584139172e-06,-3.909492729547992e-12,0.17718392156735477,0.09612375294603205,10.67445813859727
389,0.20021339100559662,-0.4034038090212295,0.4503554541368368,0.3299999985487053,0.3299947009409853,60.00000002241934,1.4512946955314021e-09,5.2990590146961836e-06,-2.2419348283074555e-08,7.256473477657011e-10,2.6495295073480918e-06,-3.912914436909887e-12,0.1727403201177158,0.1038975444758192,10.674459499111233
390,0.21793077119651524,-0.3941144681908472,0.45035545413779793,0.3299999984828172,0.3299944603659704,60.000000022438975,1.5171828238180751e-09,5.539634029605445e-06,-2.2438978666568547e-08,7.585914119090376e-10,2.7698170148027224e-06,-3.91634058516388e-12,0.16795587349766242,0.11146632899748202,10.674460921753404
391,0.23521813799646893,-0.38404747444808907,0.4503554541387076,0.32999999841393773,0.32999420886895203,60.00000002245871,1.586062281511147e-09,5.791131047983011e-06,-2.2458710827812347e-08,7.930311407555735e-10,2.8955655239915057e-06,-3.919784496986267e-12,0.16284002221024677,0.11881517204956382,10.674462408760776
392,0.2520413805766791,-0.37322269163361144,0.4503554541395454,0.3299999983419312,0.32999394595407594,60.00000002247852,1.658068793375378e-09,6.054045924075435e-06,-2.2478519322368502e-08,8.29034396687689e-10,3.0270229620377176e-06,-3.92324173148495e-12,0.1574028606746474,0.1259295731514345,10.674463962987838
393,0.2683673039020757,-0.36166147883101923,0.45035545414029216,0.32999999826665555,0.32999367110297606,60.000000022498426,1.7333444679579202e-09,6.328897023955005e-06,-2.2498429594674464e-08,8.666722339789601e-10,3.1644485119775023e-06,-3.926716729552027e-12,0.15165511730821463,0.13279549441513333,10.67446558878388
394,0.28416369423058213,-0.34938664822186727,0.4503554541409292,0.32999999818796244,0.32999338377375315,60.000000022518435,1.8120375755437124e-09,6.616226246869417e-06,-2.251844164473023e-08,9.060187877718562e-10,3.3081131234347083e-06,-3.9302094911874974e-12,0.14560813335753303,0.1393993882444397,10.674467286899496
395,0.29939938267614763,-0.33642242007346096,0.45035545414143985,0.3299999981056967,0.32999308339990563,60.000000022538536,1.894303325311597e-09,6.916600094386549e-06,-2.253854275031708e-08,9.471516626557985e-10,3.4583000471932746e-06,-3.933717795945313e-12,0.13927384052027036,0.14572822406651795,10.674469062841782
396,0.31404430671010514,-0.3227943749482704,0.45035545414180916,0.32999999801969615,0.329992769389213,60.00000002255873,1.9803038653343208e-09,7.230610787001268e-06,-2.255873291143501e-08,9.901519326671604e-10,3.615305393500634e-06,-3.937241643825474e-12,0.1326647374019692,0.15176951404338973,10.674470919339972
397,0.32806956947950505,-0.30852940322925715,0.45035545414202477,0.3299999979297912,0.32999244112256837,60.00000002257906,2.0702088376900463e-09,7.558877431645961e-06,-2.2579063016958927e-08,1.0351044188450231e-09,3.7794387158229803e-06,-3.9407899166121755e-12,0.1257938648542347,0.1575113377125019,10.674472859361574
398,0.34144749682537673,-0.2936556520607099,0.45035545414207695,0.3299999978358045,0.3299920979527575,60.00000002259948,2.164195489484655e-09,7.902047242491772e-06,-2.259948217801392e-08,1.0820977447423274e-09,3.951023621245886e-06,-3.944353732521222e-12,0.11867478024298161,0.1629423655077684,10.674474890419889
399,0.3541516918884145,-0.2782024698092816,0.45035545414195965,0.32999999773755095,0.3299917392031831,60.000000022620036,2.2624490614298054e-09,8.260796816927929e-06,-2.2620041283474902e-08,1.1312245307149027e-09,4.1303984084639644e-06,-3.9479419733368106e-12,0.11132153069751297,0.16805188111467612,10.67447701115939
400,0.3661570871943394,-0.2622003481548162,0.45035545414167005,0.3299999976348368,0.3299913641665304,60.000000022640684,2.3651632319321436e-09,8.635833469605725e-06,-2.2640689444466964e-08,1.1825816159660718e-09,4.317916734802862e-06,-3.951545757274744e-12,0.103748625393213,0.17282980261534514,10.674479228196702
401,0.3774399941161653,-0.24568086192523053,0.45035545414120953,0.32999999752745934,0.329990972103373,60.000000022661474,2.472540672204815e-09,9.027896626989662e-06,-2.266147754986501e-08,1.2362703361024074e-09,4.513948313494831e-06,-3.955173966119219e-12,0.095971006922548,0.17726670238181824,10.67448154648874
402,0.387978149615771,-0.22867660679416524,0.4503554541405831,0.329999997415207,0.329990562240715,60.000000022682386,2.5847929907563127e-09,9.437759285024772e-06,-2.2682392877450314e-08,1.2923964953781564e-09,4.718879642512386e-06,-3.958824379424186e-12,0.08800402181086134,0.1813538256783293,10.674483969477887
