Time(s),radii001_radius,radii001_x,radii001_y,radii01_radius,radii01_x,radii01_y,radii02_radius,radii02_x,radii02_y,radii03_radius,radii03_x,radii03_y,radii04_radius,radii04_x,radii04_y,radii05_radius,radii05_x,radii05_y
77.000000,0.169595,-0.057456,-0.159566,0.252060,0.246277,-0.053683,0.326661,0.076255,-0.317635,0.418743,0.390021,-0.152412,0.511295,0.443964,-0.253611,0.603410,-0.598026,0.080431
78.000000,0.169681,-0.070581,-0.154305,0.251704,0.242470,-0.067549,0.326781,0.062160,-0.320814,0.419110,0.385132,-0.165307,0.512130,0.437883,-0.265585,0.603782,-0.596414,0.094039
79.000000,0.169872,-0.083098,-0.148160,0.252451,0.238813,-0.081853,0.326939,0.045199,-0.323800,0.419684,0.379859,-0.178444,0.513076,0.431189,-0.278071,0.603887,-0.594207,0.107694
80.000000,0.170002,-0.094533,-0.141294,0.252879,0.234157,-0.095489,0.327694,0.034364,-0.325887,0.420084,0.374095,-0.191111,0.514247,0.424454,-0.290325,0.604311,-0.591961,0.121549
81.000000,0.170315,-0.105798,-0.133468,0.253234,0.228776,-0.108576,0.327971,0.020103,-0.327355,0.420712,0.368121,-0.203679,0.514860,0.416968,-0.302025,0.604592,-0.589352,0.134892
82.000000,0.170172,-0.115898,-0.124604,0.253369,0.222335,-0.121503,0.328403,0.006114,-0.328346,0.421258,0.361636,-0.216050,0.515533,0.409532,-0.313141,0.605387,-0.586855,0.148645
83.000000,0.170518,-0.125728,-0.115190,0.253670,0.215335,-0.134087,0.328162,-0.007687,-0.328072,0.421699,0.354656,-0.228143,0.515821,0.401152,-0.324267,0.605554,-0.583914,0.160439
84.000000,0.170656,-0.134659,-0.104835,0.253956,0.207743,-0.146070,0.328338,-0.021440,-0.327637,0.422240,0.347634,-0.239661,0.516487,0.393000,-0.335126,0.605867,-0.580421,0.173744
85.000000,0.171391,-0.143432,-0.093820,0.254367,0.199551,-0.157740,0.328166,-0.035596,-0.326230,0.422131,0.339600,-0.250733,0.517283,0.384462,-0.346078,0.605707,-0.575798,0.187983
86.000000,0.171359,-0.150862,-0.081268,0.254825,0.189699,-0.170147,0.328331,-0.050186,-0.324472,0.421897,0.330625,-0.262078,0.518048,0.375698,-0.356686,0.606104,-0.571857,0.200850
87.000000,0.171060,-0.156609,-0.068812,0.254822,0.180843,-0.179527,0.327855,-0.063891,-0.321570,0.421816,0.321848,-0.272658,0.519414,0.367236,-0.367326,0.606202,-0.567095,0.214205
88.000000,0.170521,-0.161193,-0.055626,0.254180,0.170124,-0.188853,0.327562,-0.077851,-0.318176,0.422129,0.312838,-0.283418,0.520818,0.358055,-0.378216,0.606092,-0.562049,0.226821
89.000000,0.170329,-0.165042,-0.042110,0.254671,0.159535,-0.198509,0.327306,-0.091469,-0.314265,0.422100,0.303351,-0.293507,0.522373,0.349341,-0.388374,0.606343,-0.557154,0.239231
90.000000,0.170028,-0.167615,-0.028544,0.254140,0.147674,-0.206832,0.328056,-0.104810,-0.310863,0.422288,0.293495,-0.303624,0.523205,0.339938,-0.397725,0.606672,-0.551525,0.252727
91.000000,0.170279,-0.169696,-0.014088,0.254418,0.135888,-0.215088,0.328231,-0.117981,-0.306294,0.422388,0.283279,-0.313313,0.524051,0.329922,-0.407161,0.607268,-0.546315,0.265169
92.000000,0.170843,-0.170843,0.000185,0.254010,0.123275,-0.222091,0.329430,-0.131640,-0.301985,0.422525,0.273505,-0.322060,0.524720,0.319484,-0.416246,0.607683,-0.540458,0.277820
93.000000,0.170960,-0.170357,0.014345,0.254047,0.109438,-0.229267,0.330307,-0.144336,-0.297103,0.422845,0.263711,-0.330537,0.525079,0.308573,-0.424842,0.607743,-0.534131,0.289924
94.000000,0.171310,-0.168815,0.029132,0.253322,0.097499,-0.233807,0.330863,-0.157080,-0.291198,0.423333,0.253085,-0.339351,0.525504,0.297600,-0.433115,0.608075,-0.527809,0.301947
95.000000,0.171992,-0.166521,0.043035,0.253108,0.083922,-0.238790,0.331485,-0.169478,-0.284885,0.423314,0.241809,-0.347453,0.526273,0.285848,-0.441876,0.608213,-0.520923,0.313946
96.000000,0.172611,-0.162761,0.057476,0.252655,0.070300,-0.242678,0.332252,-0.181548,-0.278265,0.423075,0.230370,-0.354855,0.526860,0.274878,-0.449471,0.608539,-0.514001,0.325764
97.000000,0.172917,-0.157702,0.070926,0.252366,0.056889,-0.245870,0.332797,-0.192931,-0.271167,0.422763,0.218105,-0.362159,0.527775,0.263316,-0.457397,0.608909,-0.506571,0.337869
98.000000,0.172989,-0.151262,0.083935,0.251512,0.043005,-0.247808,0.333437,-0.204717,-0.263194,0.422762,0.205760,-0.369311,0.528090,0.251758,-0.464217,0.608523,-0.498614,0.348833
99.000000,0.172934,-0.143671,0.096255,0.251531,0.028607,-0.249899,0.333492,-0.215630,-0.254403,0.422630,0.192966,-0.376005,0.528448,0.239326,-0.471148,0.608414,-0.490551,0.359900
100.000000,0.172693,-0.135309,0.107304,0.251428,0.014724,-0.250997,0.333905,-0.226280,-0.245541,0.423021,0.180950,-0.382367,0.528868,0.227207,-0.477575,0.608516,-0.482553,0.370721
101.000000,0.172828,-0.125852,0.118451,0.252131,0.000873,-0.252130,0.333908,-0.236254,-0.235964,0.423025,0.167820,-0.388313,0.529476,0.215244,-0.483750,0.608793,-0.474354,0.381598
102.000000,0.172908,-0.115580,0.128602,0.252498,-0.013052,-0.252161,0.334541,-0.246032,-0.226684,0.422770,0.154924,-0.393361,0.529736,0.202763,-0.489395,0.609024,-0.465896,0.392239
103.000000,0.173262,-0.104777,0.137991,0.252872,-0.027574,-0.251364,0.334702,-0.255452,-0.216263,0.422625,0.141755,-0.398142,0.530258,0.190271,-0.494945,0.608889,-0.456858,0.402525
104.000000,0.174062,-0.093598,0.146755,0.253351,-0.041524,-0.249925,0.334727,-0.264404,-0.205263,0.422190,0.128143,-0.402274,0.530529,0.177437,-0.499978,0.609110,-0.447624,0.413096
105.000000,0.174516,-0.081378,0.154381,0.253727,-0.055422,-0.247600,0.334483,-0.272657,-0.193744,0.422383,0.114804,-0.406482,0.530747,0.164130,-0.504731,0.608976,-0.438021,0.423071
106.000000,0.175063,-0.068959,0.160909,0.254483,-0.069352,-0.244851,0.334896,-0.280781,-0.182530,0.422861,0.100920,-0.410642,0.530554,0.150687,-0.508705,0.608507,-0.427817,0.432728
107.000000,0.175602,-0.056188,0.166370,0.254824,-0.083186,-0.240864,0.334599,-0.287600,-0.171005,0.423497,0.087410,-0.414378,0.530514,0.137544,-0.512374,0.607963,-0.418777,0.440732
108.000000,0.175744,-0.042564,0.170511,0.255191,-0.096327,-0.236313,0.334533,-0.294440,-0.158801,0.424411,0.073821,-0.417942,0.531042,0.124610,-0.516215,0.607930,-0.407451,0.451179
109.000000,0.175369,-0.028527,0.173034,0.255110,-0.108884,-0.230706,0.334180,-0.300523,-0.146158,0.424971,0.059933,-0.420724,0.530818,0.111020,-0.519078,0.608097,-0.397432,0.460249
110.000000,0.175926,-0.014310,0.175343,0.255211,-0.121685,-0.224334,0.334496,-0.306470,-0.134029,0.425541,0.046534,-0.422989,0.530428,0.097765,-0.521341,0.608407,-0.387329,0.469186
111.000000,0.176139,-0.000089,0.176139,0.255420,-0.133205,-0.217935,0.334225,-0.311505,-0.121126,0.426079,0.032400,-0.424845,0.530150,0.084125,-0.523433,0.608320,-0.376592,0.477736
112.000000,0.176336,0.013839,0.175793,0.255105,-0.144561,-0.210193,0.333848,-0.315977,-0.107765,0.426541,0.018700,-0.426131,0.530077,0.070417,-0.525379,0.608362,-0.365939,0.485997
113.000000,0.175798,0.027983,0.173557,0.254898,-0.155335,-0.202099,0.334057,-0.320371,-0.094639,0.426954,0.004719,-0.426928,0.529640,0.056988,-0.526565,0.608088,-0.354336,0.494182
114.000000,0.175718,0.041577,0.170728,0.255028,-0.166893,-0.192837,0.333823,-0.323871,-0.080905,0.427961,-0.009396,-0.427858,0.529903,0.045353,-0.527958,0.608153,-0.342833,0.502310
115.000000,0.175214,0.054933,0.166380,0.255044,-0.176994,-0.183632,0.333471,-0.326637,-0.067166,0.428523,-0.023412,-0.427883,0.529246,0.039259,-0.527788,0.607721,-0.331099,0.509606
116.000000,0.175334,0.068264,0.161499,0.255033,-0.186491,-0.173962,0.333355,-0.329057,-0.053353,0.428764,-0.037490,-0.427122,0.528328,0.031336,-0.527398,0.607395,-0.318993,0.516886
