# generated_by: experiments/mc_sweep_acquisition.py
# git_commit: 148df0a
# date: 2026-07-17T07:41:52.855301+00:00
# trials_per_cell: 4
# steps: 500
# controller: separatrix_logic_c_step (Logic C)
# start_mode: fixed  start_S6: (-0.2, -0.3)  seed_offset: 29
# band_x: 0.05  collapse_rms: 0.3  saddle_contact_d: 0.06
sigma_uv,sigma_p,seed,start_x,start_y,heading,t_band,steps,success_traverse,success_band,success_straddle,first_straddle,collapsed,track_mean,track_p95,shape_rms_max,effort,final_x,final_y,min_gradD_path
0.02,0.01,20033786,-0.2,-0.3,0.8978607201547301,-1,186,0,0,0,-1,0,0.9682049767781116,0.9985818861994605,1.10702792248979e-09,2.504245133472575,-1.0027657706384974,0.26680789093907703,0.750547108524688
0.05,0.0,50000029,-0.2,-0.3,4.582849614534261,-1,109,0,0,0,-1,0,0.8494905276920146,0.9912058171768613,4.0809353128836316e-10,1.3849919081282887,-1.0000786677248437,-0.45618585711481,0.5784030455311686
0.05,0.0,50007948,-0.2,-0.3,3.4271339694461123,240,392,0,1,0,236,0,0.14233547235378322,0.4526332638825394,0.0006038109167724209,5.0226071825844025,0.5034068326844721,-0.5231622621783859,0.3306506178419402
0.05,0.0,50015867,-0.2,-0.3,5.287678965694141,298,440,0,1,0,273,0,0.21280287818074026,0.6506624172856694,0.026578646735959083,5.720901534335631,-0.6597553004258,-0.5239950776346922,0.2094572074789071
0.05,0.0,50023786,-0.2,-0.3,3.1487958862524006,-1,47,0,0,0,-1,0,0.32656048597762366,0.4887228312103165,1.2358679056077906e-10,0.629905467802959,-0.5072673095544162,-0.5238654961496322,0.22441185429607108
0.05,0.01,50010029,-0.2,-0.3,3.4934880000275856,-1,196,0,0,0,-1,0,0.8925577278251764,0.934122573158605,1.4091638608325182e-09,2.5113046116137534,-0.8051942871255512,0.5219779592094863,1.0304440369607153
0.05,0.01,50017948,-0.2,-0.3,1.577887238043487,-1,170,0,0,0,-1,0,0.9759925407423999,0.9978257447250239,9.171536732614628e-10,2.176841689675704,-1.0012461252832436,0.2479593862270044,0.8711011590911261
0.05,0.01,50025867,-0.2,-0.3,1.9874673661019544,253,500,0,1,0,251,0,0.22455633475504297,0.8317519733956746,0.05026338416945514,6.435753885990333,0.9176843378263246,-0.31218507823533015,0.09102661483311418
0.05,0.01,50033786,-0.2,-0.3,3.656218652592279,286,500,0,0,0,275,1,0.21549897073216465,0.6544162172130615,0.9919134627448146,6.464704433312508,-0.6168019158674759,-0.4219743156246636,0.11596236946068485
0.1,0.0,100000029,-0.2,-0.3,0.5479141031540541,-1,500,0,0,0,-1,1,0.954783146323027,0.9782105583030114,1.7233162313654409,6.432431748237096,-0.929459218067371,0.29364462026230825,1.2014675062059963
