environment,primitive,field_mode,radius,avg_dist_origin,std_dist_origin,avg_dist_to_est_center,std_dist_to_est_center,est_center_x_mean,est_center_x_std,est_center_y_mean,est_center_y_std
saddle1,3R_vector_sum,analytical,0.1,4.484372203386102,2.5966042732658394,4.484372203386101,2.596604273265839,6.682942907592499e-16,1.1389723942138017e-14,1.1252699211785987e-15,1.1512327047514626e-14
saddle1,3R_vector_sum,analytical,0.2,4.585302310643077,2.596312698477575,4.585302310643075,2.5963126984775746,1.8909209640836996e-16,1.3110415174527336e-14,1.0032672240585623e-15,1.1240129914476866e-14
saddle1,3R_vector_sum,analytical,0.3,4.656272921568955,2.594830043450827,4.656272921568955,2.5948300434508265,-1.9547718298924546e-16,1.2707081273775235e-14,3.602287139567795e-18,1.1543751820466716e-14
saddle1,3R_vector_sum,analytical,0.4,4.721366524523358,2.5926487787563324,4.721366524523358,2.592648778756332,-4.2416782782640983e-16,1.2268253687888298e-14,2.9822723741263343e-16,1.0415829225286317e-14
saddle1,3R_vector_sum,analytical,0.5,4.783709835409803,2.589818928497789,4.7837098354098035,2.58981892849779,1.2719423507594099e-15,1.2414558927401336e-14,-4.8199786418736e-16,1.385899146055738e-14
saddle1,3R_vector_sum,analytical,0.6,4.846265003206676,2.586457712202307,4.846265003206676,2.5864577122023067,4.991111552357026e-16,1.4267601293311278e-14,7.732571872781782e-16,1.3093455031112507e-14
saddle1,3R_vector_sum,nn,0.1,4.441498688066611,2.595017883693015,173.92835843809033,785.0154324033732,-70.03003669903595,481.8889856890493,92.59804755821925,633.9763226741417
saddle1,3R_vector_sum,nn,0.2,4.579391150557323,2.5958269284026843,166.19729269831504,614.7268395736161,-63.0822464848666,380.61671825885725,83.39574740141347,500.78049999432244
saddle1,3R_vector_sum,nn,0.3,4.64703238064895,2.5943407520976525,159.45342661379706,465.9831554957233,-52.28562996654905,293.98713105459456,69.15350632844874,386.78148319094646
saddle1,3R_vector_sum,nn,0.4,4.711481187769672,2.5922790548022494,200.888496544189,1115.148834454241,-12.657022511374704,686.003637780369,17.02782543543525,901.9147614352319
saddle1,3R_vector_sum,nn,0.5,4.768174054394179,2.589491554473961,168.72135349452623,533.7637982757602,-56.10847147380266,334.9323883889565,74.16515467194952,439.98322472717257
